family,sentencing,DV,SA,murder,reconciliation,decree
wife,order of proection,domestic violence,bodily harm,murder,bulubulu,violence decree
husband,sentence,domestic,rape,kill,reconciliation,domestic violence decree
child,protection order,domestic relationship,attempted rape,manslaughter,reconcile,crimes decree
siblings,restraining order,grievous harm,intimate,victim,ifoga,domestic violence restraining order
family,guilty,injury,carnal,dead,apology,non molestation order
father,prison,assault,carnal knowledge,,forgiveness,dvro
mother,charge,malicious,penis,,,non contact order
stepfather,imprisonment,mayhem,vagina,,,
parent,final sentence,battery,sex,,,
son,,wounding,sexually,,,
daughter,,physical ,penetration,,,
grandfather,,house,breast,,,
grandmother,,harass,penetrate ,,,
grandson,,harassment,violation,,,
grandchild,,force,intercourse,,,
uncle,,violence,fornication,,,
aunt,,aggression,indecency,,,
marriage,,attack,incest,,,
brother,,violent act,indecent assault,,,
sister,,beat,indecent exposure,,,
home,,bash,sexual violence,,,
family member,,hit,unnatural offense,,,
step-father,,break,abduct,,,
baby,,knife,abuse,,,
,,threat,anal,,,
,,relationship,anus,,,
,,,defile,,,
,,,grope,,,
,,,intimidate,,,
,,,subdue,,,
,,,prostitution,,,
,,,exploitation,,,
,,,woman,,,
,,,slave,,,
,,,porn,,,
,,,pornography,,,
,,,trafficking,,,
,,,genital,,,
,,,touch,,,
,,,body,,,
,,,nude,,,
,,,naked,,,
,,,strip,,,
,,,stalking,,,
,,,girl,,,
,,,boy,,,
,,,virginity,,,
,,,hymen,,,
